class	url	status	n_redirects	redirect_chain	final_url	title	note	context	source_files	live_referrers	verify_code	verify_hops	verify_final	verify_result
dead_host_dns	http://www.soph.uab.edu/ssg/courses/nhgri_r13/ngsstat	DNS_FAIL	0					live	content/help/events/StatAnaNextGenSeq2011.yaml	https://bioconductor.org/help/events/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	http://www3.uclm.es/congresos/useR-2013/Tutorials/Morgan.html	DNS_FAIL	0					live	content/help/events/BioC_at_UseR_2013.yaml	https://bioconductor.org/help/events/	000	0		CONFIRMED_UNREACHABLE
dead_host_dns	https://bioc2017.updog.co/DelayedMatrixStats_BioC_2017.html	DNS_FAIL	0					archival	content/help/course-materials/2017/BioC2017.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	https://cabig.nci.nih.gov/	DNS_FAIL	0					content	content/help/cabig.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	https://gforge.nci.nih.gov/docman/?group_id=175	DNS_FAIL	0					content	content/help/cabig.md		000	0		CONFIRMED_UNREACHABLE
dead_host_dns	https://gforge.nci.nih.gov/scm/?group_id=175	DNS_FAIL	0					content	content/help/cabig.md		000	0		CONFIRMED_UNREACHABLE
hard_404	http://bioconductor-emr-bootstrap-scripts.s3.amazonaws.com/bootstrap.sh	404	0					content	content/help/elasticmapreduce.md		404	0	http://bioconductor-emr-bootstrap-scripts.s3.amazonaws.com/bootstrap.sh	CONFIRMED_404
hard_404	http://bioconductor-mapreduce-example-inputdir.s3.amazonaws.com/file1	404	0					content	content/help/elasticmapreduce.md		404	0	http://bioconductor-mapreduce-example-inputdir.s3.amazonaws.com/file1	CONFIRMED_404
hard_404	http://bioconductor-mapreduce-example-inputdir.s3.amazonaws.com/file2	404	0					content	content/help/elasticmapreduce.md		404	0	http://bioconductor-mapreduce-example-inputdir.s3.amazonaws.com/file2	CONFIRMED_404
hard_404	http://bit.ly/BioC2015	404	2	301->https://www.biostat.wisc.edu/~kbroman/presentations/BioC2015/ | 301->https://biostat.wisc.edu/~kbroman/presentations/BioC2015/	https://biostat.wisc.edu/~kbroman/presentations/BioC2015/	Page not found &#8211; Biostatistics and Medical Informatics &#8211; UW–Madison		archival	content/help/course-materials/2015/BioC2015.md		404	2	https://biostat.wisc.edu/~kbroman/presentations/BioC2015/	CONFIRMED_404
hard_404	http://cole-trapnell-lab.github.io/monocle-release/features/	404	0			Page not found &middot; GitHub Pages		archival	content/news/bioc_3_4_release.md		404	0	http://cole-trapnell-lab.github.io/monocle-release/features/	CONFIRMED_404
hard_404	http://common-workflow-language.github.io/draft-2/	404	1	301->https://www.commonwl.org/draft-2/	https://www.commonwl.org/draft-2/	| Common Workflow Language (CWL)		archival	content/help/course-materials/2015/BioC2015.md		404	1	https://www.commonwl.org/draft-2/	CONFIRMED_404
hard_404	http://cran.at.r-project.org/bin/windows/contrib/r-release/limma_2.0.4.zip	404	1	301->http://cran.r-project.org/bin/windows/contrib/r-release/limma_2.0.4.zip	http://cran.r-project.org/bin/windows/contrib/r-release/limma_2.0.4.zip	Object not found!		archival	content/help/course-materials/2005/BioC2005/labs/lab01.html		404	2	https://cran.r-project.org/bin/windows/contrib/r-release/limma_2.0.4.zip	CONFIRMED_404
hard_404	http://cran.at.r-project.org/bin/windows/contrib/r-release/statmod_1.2.0.zip	404	1	301->http://cran.r-project.org/bin/windows/contrib/r-release/statmod_1.2.0.zip	http://cran.r-project.org/bin/windows/contrib/r-release/statmod_1.2.0.zip	Object not found!		archival	content/help/course-materials/2005/BioC2005/labs/lab01.html		404	2	https://cran.r-project.org/bin/windows/contrib/r-release/statmod_1.2.0.zip	CONFIRMED_404
hard_404	http://cran.at.r-project.org/src/contrib/limma_2.0.4.tar.gz	404	1	301->http://cran.r-project.org/src/contrib/limma_2.0.4.tar.gz	http://cran.r-project.org/src/contrib/limma_2.0.4.tar.gz	Object not found!		archival	content/help/course-materials/2005/BioC2005/labs/lab01.html		404	2	https://cran.r-project.org/src/contrib/limma_2.0.4.tar.gz	CONFIRMED_404
hard_404	http://cran.at.r-project.org/src/contrib/statmod_1.2.0.tar.gz	404	1	301->http://cran.r-project.org/src/contrib/statmod_1.2.0.tar.gz	http://cran.r-project.org/src/contrib/statmod_1.2.0.tar.gz	Object not found!		archival	content/help/course-materials/2005/BioC2005/labs/lab01.html		404	2	https://cran.r-project.org/src/contrib/statmod_1.2.0.tar.gz	CONFIRMED_404
hard_404	http://duffel.rail.bio/recount3	404	1	301->https://duffel.rail.bio/recount3	https://duffel.rail.bio/recount3	404 Not Found		archival	content/news/bioc_3_18_release.md		404	1	https://duffel.rail.bio/recount3	CONFIRMED_404
hard_404	http://eqtl.uchicago.edu/dsQTL_data/GENOTYPES/	404	3	301->https://eqtl.uchicago.edu:443/dsQTL_data/GENOTYPES/ | 301->https://giladlab.uchicago.edu/data/dsQTL_data/GENOTYPES/ | 301->https://www.giladlab.uchicago.edu/data/dsQTL_data/GENOTYPES/	https://www.giladlab.uchicago.edu/data/dsQTL_data/GENOTYPES/			archival	content/news/bioc_3_10_release.md; content/news/bioc_3_11_release.md; content/news/bioc_3_12_release.md; content/news/bioc_3_7_release.md		404	3	https://www.giladlab.uchicago.edu/data/dsQTL_data/GENOTYPES/	CONFIRMED_404
hard_404	http://facility.bioinformatics.ucr.edu/home/workshops	404	1	301->https://facility.bioinformatics.ucr.edu/home/workshops	https://facility.bioinformatics.ucr.edu/home/workshops	404 Page not found		live	content/help/events/Riverside20101120.yaml; content/help/events/Riverside2011.yaml; content/help/events/RiversideBioCMarch10.yaml; content/help/events/RiversideClusteringMarch10.yaml	https://bioconductor.org/help/events/	404	1	https://facility.bioinformatics.ucr.edu/home/workshops	CONFIRMED_404
hard_404	http://genomebiology.com/2002/3/12/research/0088.1	404	0			Application Unavailable | Springer Nature		archival	content/help/course-materials/2005/BioC2005/labs/lab01/drosEmbryo.html		404	0	http://genomebiology.com/2002/3/12/research/0088.1	CONFIRMED_404
hard_404	http://genomebiology.com/2004/5/10/r80	404	0			Application Unavailable | Springer Nature		archival	content/help/newsletters/2015_April.md		404	0	http://genomebiology.com/2004/5/10/r80	CONFIRMED_404
hard_404	http://genomebiology.com/2006/7/7/R66/abstract	404	0			Application Unavailable | Springer Nature		archival	content/help/course-materials/2006/BioC2006/talks/whuber.html		404	0	http://genomebiology.com/2006/7/7/R66/abstract	CONFIRMED_404
hard_404	http://journal.r-project.org/archive/2011-1/RJournal_2011-1_Wickham.pdf	404	1	301->https://journal.r-project.org/news/RJ-2011-1-RJournal_2011-1_Wickham/RJ-2011-1-RJournal_2011-1_Wickham.pdf	https://journal.r-project.org/news/RJ-2011-1-RJournal_2011-1_Wickham/RJ-2011-1-RJournal_2011-1_Wickham.pdf	Object not found!		content	content/developers/how-to/unitTesting-guidelines.md		404	2	https://journal.r-project.org/news/RJ-2011-1-RJournal_2011-1_Wickham/RJ-2011-1-RJournal_2011-1_Wickham.pdf	CONFIRMED_404
hard_404	http://lldb.llvm.org/status.html	404	1	302->https://lldb.llvm.org/status.html	https://lldb.llvm.org/status.html	404 Not Found		content	content/developers/how-to/mavericks-howto.md		404	1	https://lldb.llvm.org/status.html	CONFIRMED_404
hard_404	http://mikelove.github.io/biocrnaseq/	404	1	301->https://mikelove.github.io/biocrnaseq/	https://mikelove.github.io/biocrnaseq/			archival	content/help/course-materials/2014/ISMB2014.md		404	1	https://mikelove.github.io/biocrnaseq/	CONFIRMED_404
hard_404	http://peterhickey.org/bioc2016-lightning-talk.html	404	2	301->https://peterhickey.org/bioc2016-lightning-talk.html | 301->https://www.peterhickey.org/bioc2016-lightning-talk.html	https://www.peterhickey.org/bioc2016-lightning-talk.html	404 Page not found | Peter Hickey		archival	content/help/course-materials/2016/BioC2016.md		404	2	https://www.peterhickey.org/bioc2016-lightning-talk.html	CONFIRMED_404
hard_404	http://pgfe.umassmed.edu/ChIPpeakAnno/FAQ.html	404	1	302->https://pgfe.umassmed.edu/ChIPpeakAnno/FAQ.html	https://pgfe.umassmed.edu/ChIPpeakAnno/FAQ.html	404 Not Found		archival	content/news/bioc_2_9_release.md		404	1	https://pgfe.umassmed.edu/ChIPpeakAnno/FAQ.html	CONFIRMED_404
hard_404	http://rtcga.github.io/RTCGA/BioC2016	404	0			Page not found &middot; GitHub Pages		archival	content/help/course-materials/2016/BioC2016.md		404	0	http://rtcga.github.io/RTCGA/BioC2016	CONFIRMED_404
hard_404	http://s3.amazonaws.com/bioconductor-mapreduce-example/mapper-emr.R	404	0					content	content/help/elasticmapreduce.md		404	0	http://s3.amazonaws.com/bioconductor-mapreduce-example/mapper-emr.R	CONFIRMED_404
hard_404	http://s3.amazonaws.com/bioconductor-mapreduce-example/reducer-emr.R	404	0					content	content/help/elasticmapreduce.md		404	0	http://s3.amazonaws.com/bioconductor-mapreduce-example/reducer-emr.R	CONFIRMED_404
hard_404	http://simplystatistics.org/2015/05/20/is-it-species-or-is-it-batch-they-are-confounded-so-we-cant-know/	404	1	301->https://simplystatistics.org/2015/05/20/is-it-species-or-is-it-batch-they-are-confounded-so-we-cant-know/	https://simplystatistics.org/2015/05/20/is-it-species-or-is-it-batch-they-are-confounded-so-we-cant-know/	Page not found &middot; GitHub Pages		archival	content/help/newsletters/2016_January.md		404	1	https://simplystatistics.org/2015/05/20/is-it-species-or-is-it-batch-they-are-confounded-so-we-cant-know/	CONFIRMED_404
hard_404	http://sourceforge.net/mailarchive/message.php?msg_id=30106560	404	0			Page not found - SourceForge.net		archival	content/news/bioc_2_14_release.md		403	0	http://sourceforge.net/mailarchive/message.php?msg_id=30106560	BLOCKED_403
hard_404	http://sta.uwi.edu/fsa/dms/highthroughput_schedule.asp	404	1	301->https://sta.uwi.edu/fsa/dms/highthroughput_schedule.asp	https://sta.uwi.edu/fsa/dms/highthroughput_schedule.asp	Page not found - The University of the West Indies		archival	content/help/course-materials/2011/intl-workshop-bioc.yaml		404	1	https://sta.uwi.edu/fsa/dms/highthroughput_schedule.asp	CONFIRMED_404
hard_404	http://users.unimi.it/marray/2011/	404	1	301->https://sites.unimi.it/marray/2011/	https://sites.unimi.it/marray/2011/	ERROR 404 - Not Found!		archival	content/help/course-materials/2011/CSAMA.yaml		404	1	https://sites.unimi.it/marray/2011/	CONFIRMED_404
hard_404	http://www-genome.wi.mit.edu/cancer/software/software.html	404	2	301->http://wi.mit.edu/cancer/software/software.html | 301->https://wi.mit.edu/cancer/software/software.html	https://wi.mit.edu/cancer/software/software.html	Page not found | Whitehead Institute		archival	content/help/course-materials/2002/Heidelberg02.html		404	2	https://wi.mit.edu/cancer/software/software.html	CONFIRMED_404
