url	status	n_redirects	redirect_chain	final_url	content_type	title	note
http://bioconductor.org/spb_reports/regutools_buildreport_20200302121040.html	404	1	301->https://bioconductor.org/spb_reports/regutools_buildreport_20200302121040.html	https://bioconductor.org/spb_reports/regutools_buildreport_20200302121040.html	text/html		
http://contributions.bioconductor.org/troubleshooting-build-report.html	200	1	301->https://contributions.bioconductor.org/troubleshooting-build-report.html	https://contributions.bioconductor.org/troubleshooting-build-report.html	text/html; charset=utf-8		
http://contributions.bioconductor.org/review-expectation.html	200	1	301->https://contributions.bioconductor.org/review-expectation.html	https://contributions.bioconductor.org/review-expectation.html	text/html; charset=utf-8		
http://www.bioconductor.org/checkResults/devel/bioc-LATEST/	200	1	301->https://www.bioconductor.org/checkResults/devel/bioc-LATEST/	https://www.bioconductor.org/checkResults/devel/bioc-LATEST/	text/html		
http://www.bioconductor.org/	200	1	301->https://www.bioconductor.org/	https://www.bioconductor.org/	text/html		
http://www.bioconductor.org/developers/how-to/git-svn/	200	1	301->https://www.bioconductor.org/developers/how-to/git-svn/	https://www.bioconductor.org/developers/how-to/git-svn/	text/html		
http://contributions.bioconductor.org/use-devel.html	200	1	301->https://contributions.bioconductor.org/use-devel.html	https://contributions.bioconductor.org/use-devel.html	text/html; charset=utf-8		
http://www.bioconductor.org/developers/release-schedule/	200	1	301->https://www.bioconductor.org/developers/release-schedule/	https://www.bioconductor.org/developers/release-schedule/	text/html		
http://bioconductor.org/help/mailing-list/	200	4	301->https://bioconductor.org/help/mailing-list/ | 301->http://master.bioconductor.org/help/support | 302->http://bioconductor.org/help/support/ | 301->https://bioconductor.org/help/support/	https://bioconductor.org/help/support/	text/html		
http://www.bioconductor.org/help/bioconductor-cloud-ami/	200	1	301->https://www.bioconductor.org/help/bioconductor-cloud-ami/	https://www.bioconductor.org/help/bioconductor-cloud-ami/	text/html		
http://master.bioconductor.org/developers/package-guidelines/	200	2	301->http://contributions.bioconductor.org/develop-overview.html | 301->https://contributions.bioconductor.org/develop-overview.html	https://contributions.bioconductor.org/develop-overview.html	text/html; charset=utf-8		
http://www.bioconductor.org/developers/package-end-of-life/	200	2	301->https://www.bioconductor.org/developers/package-end-of-life/ | 301->https://contributions.bioconductor.org/package-end-of-life-policy.html	https://contributions.bioconductor.org/package-end-of-life-policy.html	text/html; charset=utf-8		
http://www.bioconductor.org/help/course-materials/	403	1	301->https://www.bioconductor.org/help/course-materials/	https://www.bioconductor.org/help/course-materials/	text/html		
http://www.bioconductor.org/help/course-materials/2015/BioC2015/	403	1	301->https://www.bioconductor.org/help/course-materials/2015/BioC2015/	https://www.bioconductor.org/help/course-materials/2015/BioC2015/	text/html		
http://www.bioconductor.org/help/docker/	200	1	301->https://www.bioconductor.org/help/docker/	https://www.bioconductor.org/help/docker/	text/html		
https://anvil.bioconductor.org	200	0			text/html; charset=utf-8		
http://www.bioconductor.org/help/publications/	200	1	301->https://www.bioconductor.org/help/publications/	https://www.bioconductor.org/help/publications/	text/html		
http://www.bioconductor.org/help/course-materials/2016/BioC2016/	403	1	301->https://www.bioconductor.org/help/course-materials/2016/BioC2016/	https://www.bioconductor.org/help/course-materials/2016/BioC2016/	text/html		
http://www.bioconductor.org/help/course-materials/2015/BiocAsia2015/	403	1	301->https://www.bioconductor.org/help/course-materials/2015/BiocAsia2015/	https://www.bioconductor.org/help/course-materials/2015/BiocAsia2015/	text/html		
https://anvil.bioconductor.org/	200	0			text/html; charset=utf-8		
http://www.bioconductor.org/help/events/	200	1	301->https://www.bioconductor.org/help/events/	https://www.bioconductor.org/help/events/	text/html		
http://www.bioconductor.org/help/workflows/	200	1	301->https://www.bioconductor.org/help/workflows/	https://www.bioconductor.org/help/workflows/	text/html		
http://www.bioconductor.org/install/	200	1	301->https://www.bioconductor.org/install/	https://www.bioconductor.org/install/	text/html		
https://annotationhub.bioconductor.org	200	0			text/html;charset=utf-8		
